name,salary
Sharaf,13991.4833370164
Kyndra,15142.2750549379
Grant,14357.1875655588
Chassity,14544.6166465171
Adrial,14980.6675558684
Muntaha,14906.092123387
Christopher,14855.6036088821
Devin,14343.491974016
M'Leesa,14193.0672612765
Vijay,14925.8439677572
Ariann,14006.7196454118
Maimoona,14858.545061519
Sergio,14550.7262204148
Rashad,15423.2517713027
David,14096.7976476086
Runcai,14966.9389609857
Diego,14816.3403750052
Ricardo,14331.7188447422
Kathy,14905.613917751
Joshua,14343.8161989595
Carly,15428.3391266422
Ischara,15770.9283227508
Dashawn,14676.2237948371
Azureen,14486.4296447441
Aaron,15348.1453321482
Janni,15062.1487594756
Shivawni,15338.0282260269
Savannah,14735.1302231319
Tiana,14917.85624554
Sydney,14847.9574490838
Albert,15518.5603267031
Anne,15388.7326446516
Saami,14912.1198977042
Marina,15766.5657878414
Madeeha,15465.4633001693
Nuha,15821.661702576
Brian,14404.4320738396
Adhraaa,14590.5154750268
Ariana,14410.1526599486
Simeon,14475.8991173472
Amanda,15598.3771306824
Renee,14706.2016589049
Pedro,15262.2673566341
Ribaka,14589.2339965676
Madeleine,15103.2877575264
Chaley,14862.6842488623
Esther,15458.3510351154
Rian,14533.9273290857
Seth,14422.5619672187
Rahul,13927.0890260225
Hunter,14626.8384619285
Kenneth,15156.3591062252
Dechantae,15606.0928030003
Tanisha,14394.8336778569
Alexis,15449.2756792422
Vincent,15080.9423322448
Rajab,15884.4391796625
Antwuan,15238.4301981363
Yaasmeena,14715.985481234
Jalaal,15478.5103025215
Marjaana,14253.7838954692
Melissa,15659.1455796147
Alexis,15877.1903821152
Patrick,14888.7763059683
Maria,15115.9054168379
Samuel,14438.8871124462
Samantha,15546.0427659191
Scottie,15143.3981230644
Yoonus,15117.539470237
Julio,14901.4786213898
Dominic,14969.7307426056
Justin,15051.5063271009
Rebekah,15147.731998317
Brianna,15897.3704808952
Jordy,14705.99587491
Elsi,16037.243604098
Khatlyn,15077.1043057848
Alexander,14743.0077681993
Larry,14295.4479792361
Kamettisara,14695.6114407709
Yasmine,14022.8625225477
Fateena,14813.1193794567
Shominic,15025.1064200898
Mansoor,14852.210556167
Anveshi,14902.9196525681
Zachary,15507.5248442353
Hunter,14626.8384619285
Madeleine,15103.2877575264
Nazeema,15099.4308061784
Anita,14659.1600846052
James,14759.9954254199
Jesus,14134.5423887237
Christopher,14166.385556786
Austin,15947.8229593226
Michael,15116.7879601842
Stevey,14385.6705029512
Patricia,14506.4874488606
Cameron,14646.3148568405
Turki,15127.8476830812
Rachael,15000.0054620087
Edgar,15316.9518266608
Deljerro,14543.2319895965
John-Wesley,15267.5468269744
Shamara,15074.6409543403
Luanne,15579.9322342485
Anthony,16147.3037282649
Jon'Nae,14416.7683349944
Kenzie,15021.53884731
Dallana,15044.0596147655
Glenda,15080.5569420492
Nooriyya,15171.0466582497
Brittany,14851.9408430889
Andrea,15490.4890649101
Olivia,14938.5181685813
Nicholas,15510.4056001539
Sam,14780.804488291
Ilheum,14756.3243181429
Zuhair,14902.7945694127
Paul,15250.3191430098
Camille,14872.3726330387
Osue,14996.9320514628
James,15123.5140559905
Aaisha,14609.2999899905
Pedro,16305.1631853049
Akane,15202.6557268441
Wade,15005.8808262627
Jordan,15232.1283689841
Muntaha,14906.092123387
Brandon,15075.9756699019
Gaitha,14712.6730270402
