name,salary
Jessica,14281.686596749
Alyah,15267.7118563556
Aasiya,14947.5751924841
Mariah,15408.4965694187
Hayley,14962.7716798906
Ethan,15530.4954941227
Tyler,15340.7052362854
Jeannette,15241.0094621638
Jonathan,15842.0613514728
Radiyya,14262.4929838388
Kayli,14939.7180533869
Courtney,14517.1572893927
Hunter,14457.7773746
Cheyenne,15428.6390373554
Justin,15385.5598423609
Ammaar,15678.1404231755
Jyotshal,15180.8448063103
Shaddaad,14183.1169611435
Jordan,15271.9277479567
Taylor,14343.6818065102
Haarith,14815.1125329159
Emma,15058.9051461997
Daniel,15380.7215976308
Summer,14560.1277131915
Andre,15187.6338454529
Taylor,14945.5458937038
Sankeerth,14867.0160708952
Chu Ming Min,14569.6152281489
Daniel,14847.533638147
Sophia,15817.2598577301
Iliene,15946.0177016988
Yihang,15264.9810384119
Robert,14313.5701864693
Amal,14907.7496709812
Samantha,15143.4515765326
Jessica,14976.1934160342
Marc,15840.1847495455
Joseph,15225.5466981585
Taylor,14427.5485950161
Tori,15308.5516411211
Kamettisara,14695.6114407709
Peter,14758.4685294219
Laci,15116.0436143067
Amjad,14164.6713717471
Jordain,14113.8135101907
Shaimaaa,15084.5610639345
Fendi,14936.3270272045
Austin,14824.7707357674
Jade,14159.840700018
Santos,15080.8341628952
