name,salary
Matthew,15202.2843657826
Taariq,14808.0336690323
Isaiah,14963.8605960403
Nelda,14847.2509403181
Isaac,15383.6501189498
Nicole,15440.9545739162
Steven,14900.1529601928
Ailin,14122.2054294986
James,14862.7939426056
Xavier,15176.1743470705
Nabeeha,14749.6686922272
Skylar,15280.286763422
David,15551.5711957292
D'Andre,14737.1420283796
Preston,15082.8354432496
Bryana,14723.4787014099
Neil,15569.4491259952
Alexander,13779.9211428415
Alana,15173.7755339294
Johnpaul,15110.871339396
Joshua,14600.1387931929
Phillip,15479.8846975635
Theodore,14255.7302653694
Charlayna,14251.1185846032
Khaalid,15288.9555126147
Robert Deangelo,15772.2086192967
Israel,14230.7967132029
Sham'a,15444.5047092804
Alexandrea,15013.6369151165
Monica,14624.1143267985
Cheyenne,14082.5501892354
Ivory,15734.3098720293
Mariah,14523.8642557083
Michael,13287.6171603677
Dhaakir,15756.2805218122
Raymond,15971.0152197938
Eric,15207.2819318235
Michelle,15719.029295522
Derrick,15042.5631839856
Nawaar,15613.8895791847
Shannan,15025.7967775077
Katelyn,15207.2647883419
Allisen,14724.9376430299
Aidan,15324.1431913256
Saul,14967.3411148609
Jazmin,14508.1883662758
Hudhaifa,16217.487272272
Abdul Khaliq,15357.8433919978
Frederick,15336.3367480749
Marquise-Dion,14949.5015164216
Fawzi,15004.9296323775
Sheikhnoor,15361.5457547435
Kevin,14921.7992501044
Troy,14565.3164728947
Christian,13993.4254917193
Shawqi,15191.2699529809
Xiao,15166.6959706276
Jasmine,13568.2380305736
Thaamira,15377.9561897711
Tarquin,14822.8328316763
Joseph,16108.6968918074
Muntaha,14010.1828978024
Damion,14904.2122938029
Halie,15935.8220876881
Jason,15238.4340829743
Marissa,13931.4035543804
Davy,14677.9888824846
Shukriyya,15284.126447497
Irvin,14968.4718976916
Katie,15175.0534825039
Faaid,13900.3217624885
Yusri,14974.5329863209
Alexandra,14981.799752419
Badruddeen,13965.4650966685
Jeremy,15375.4183834606
Fuaad,14788.0523365973
Abeer,15476.286198776
Faaid,14669.4944914356
Riley,14430.8638947843
Ladeja,14323.766601099
Devonte,14078.0737515829
Shelbie,14599.1957014665
Kaelinn,14731.778984515
Mariah,13612.0456218129
Mutlaq,15525.7299308772
Tanisha,15421.7872258331
Sajaa,15230.2988771364
Zoe,15509.8493393151
Colin,15891.5300331404
Waleeda,14913.8628492464
Dakota,15391.1900225456
Mason,14970.0340812957
Kenneth,15156.3591062252
Megan,15401.9211234268
Kara,15521.2381662476
Aarti,15180.9035677459
Alexia,15497.4098710575
Emily,14994.2627451442
Qisma,14824.224152576
Raymond,15465.462122134
Tevyn,14106.5393720912
Shameem,15376.5571889182
Mikayla,15652.0099154187
Humza,14962.3652411692
Rebecca,14142.9003609645
Ismaeel,15146.6709295174
Mariah,14573.9419187576
Brittany,15408.057929053
Joseph,14588.868351363
Brandon,14889.60903735
Alexis,14627.3637541476
Joshua,14620.290659145
Ramza,14222.0238371824
Phaylinh,14958.5740146863
Arianna,14311.4515637385
Enedina,15474.261340776
Boyu,15644.6001837592
Christian,14915.1052917111
Ana,14203.183886003
Jonathan,15519.3669653702
Judith,14382.0609625209
Labeeb,15469.8029174397
Cedric,14121.7465724697
Maurice,14656.8610865002
Acia,14632.5754406088
Ashtyn,15048.5092783036
Israa,15334.4308119072
David,14676.6522145324
Seth,15523.7822845769
Jou,14396.8446659495
Zufar,14208.9898462434
Cody,15309.157701703
Breana,14859.5199823013
James,14772.7678095642
Jaleesa,14861.198698409
Kathy,14905.613917751
Kristopher,14896.5241542504
Sonia,15176.6825041021
Jeremiah,15128.5242515391
Tony,15833.3900364827
Paul,15305.2062646939
Hanoona,15639.0389411755
Lauren,15343.4678644458
Malea,15094.4285759243
Cecilia,15231.3006997124
Brackin,15391.2611400933
Lidia,15712.3167196555
Waleed,15727.7998127989
Isael,15831.4221253443
Michelle,14535.725691851
Saleet,14428.5506729811
Megan,14599.9616938263
Misty,16107.5285409423
Heather,15513.1171827525
Qais,13295.8726962459
Ayala,14553.5316197942
Breanna,14828.3260541094
Abdul Ghafoor,14872.4063504137
Jacob,14935.5666409339
Stephanie,14941.8680074868
Fernando,14362.3107593216
Rose,15131.4724906902
Shashank,14485.69564287
Kyle,14873.6440765638
Alyah,15267.7118563556
Joshua,14761.6189482342
Connor,16006.1149967411
Delanie,15497.3037335386
Lynn,14677.9891527465
Luis,15349.9253936661
Nawwaara,15163.5490095849
"Jam,Aan",15323.6242901911
Gabriel,14847.5827751956
Chuong,14121.641439578
Ashleen,14405.9214070614
Taylor,14945.5458937038
Matthew,15017.7386858098
Shuraih,15181.9024456154
Alan,15677.3935878686
Christopher,14905.3517407444
Alexis,15367.5871524757
Christopher,14136.6592613572
Jacien,14725.2853155809
Muntaha,14386.4656458229
Thaylor,14780.889634558
Kendra,13972.4725482412
Amanda,15526.8462596843
Brianna,14813.7629406347
Darian,14216.4108476672
Ashley,15043.8190086036
Emily,14751.8972371261
John,15631.585683305
Christophe,14946.9778462818
Ryan,14796.3221552415
Ismaeel,15146.6709295174
Cherokee,14453.2112181086
