name,salary
Sameeha,15007.0124746653
Chase,13991.2354383142
Robert,15670.9541343228
Li,15368.6046911792
Mackenzie,15100.3934748857
Averly,15421.8976072557
Alexis,15130.7744336455
Cameron,14645.4658070838
Nathan,14610.9713522735
Zuhriyaa,15020.9416370292
Nicole,15883.747161244
Neaomi,13760.6005021201
Tiana,14917.85624554
Maaiz,15097.8491897792
Juliana,14381.1492812715
Katherine,14928.9488055475
Kylie,14673.2044943708
Brandon,14589.9259728589
Cheneng,15645.8284431684
Rushdi,14899.7668829224
Brandon,14616.0110864379
Jazzmine,14754.7147546813
Abigail,16277.4728860813
Alexandra,15154.0328747105
Jacqueline,15128.0551277934
Briana,14359.8063018195
Brackin,15391.2611400933
Paulina,15592.330562111
Kajah,14154.325441593
Faarooq,16127.6051155806
Seth,15914.1092285592
Connie,15283.6897264548
Jeelaan,13826.2264338839
Devon,14999.0107509419
Emily,15578.58960714
Jyotshal,15180.8448063103
Daniel,14869.9552345029
Christiana,14374.5066056499
Naomi,15815.9389038905
Allen,14869.1460052536
Macennia,14730.1144810073
Dennis,14496.0222408581
Cynphina,15129.5536424303
Desiree,14926.7448061401
Abdur Razzaaq,14388.159266976
Anacani,14678.6245335874
Francisco,15693.8400444874
Tyler,14170.5614299774
Misa,14649.1442939003
Joseph,16649.5632810466
