name,salary
Nacreasha,14419.5107710078
Cody,15520.9710365417
Suzannah,15570.0097160091
Sarah,14223.5713649181
Anikka,15528.5195725281
Jose,15023.4462205817
Ria,15193.4184203235
Nadia,14418.670357028
Dillon,15282.8720056356
Evelyn,14472.2807531309
Kyra,15969.3250218857
Sofia,14949.2837513412
Cydney,14683.4338574921
Montago,14521.5943155256
Devin,15000.475740217
Aqeel,15587.1132977199
Joleen,15137.6309782729
Madden,14970.4657189673
Ariel,14891.458425112
Brianne,14590.4492283462
Collin,14573.9478951814
Jun Raziel,15095.9602670372
Aastha,15312.1248479808
Tyana,15352.58948502
Claire,16316.6272216725
Christopher,15314.4217553229
Keya,14979.6982140918
Dylan,14413.8494412398
Jung,15641.7415267864
William,14656.8660300671
Ashqar,15014.3889272297
Prodeo,14967.9971085058
Annie,15223.6145122961
Christopher,15536.08240797
Devohn,15532.314102769
Ashlee,14953.5320602384
Shania,15628.8944656996
Tasia,15127.3162904417
Jackeline,15240.2568687781
Ajanee,14938.9311387636
Jorge,14077.3093174284
Saleem,14986.2464519484
Louis,14644.6833268698
Faatin,15241.9926025702
Bradford,15122.3398952824
Fat'hi,14373.5083951362
Danika,14810.2538203309
Kiersten,15777.7054875842
Nawwaara,15163.5490095849
Aarif,16243.30640946
